Location,Precision,Recall,F1,Accuracy
L15-1204E-1202N_4816_3380_13,0.07000946073793755,0.0020041708420225875,0.003896787783043707,0.9639205932617188
L15-1669E-1153N_6678_3579_13,0.1075971124097628,0.11568313416286806,0.11149370695796723,0.9857273101806641
L15-0683E-1006N_2732_4164_13,0.11876921695805373,0.2885496183206107,0.16827511646024454,0.950061667583089
L15-0614E-0946N_2459_4406_13,0.07599102008180336,0.1982668699350076,0.10987105380168964,0.9618167877197266
L15-1691E-1211N_6764_3347_13,0.04224889035015617,0.020476456059278145,0.027583986261672213,0.9827194213867188
L15-1538E-1163N_6154_3539_13,0.39473684210526316,0.0170261066969353,0.03264417845484222,0.9923696517944336
L15-1025E-1366N_4102_2726_13,0.04456041750301084,0.04010115606936416,0.042213348545350825,0.9903926849365234
L15-0434E-1218N_1736_3318_13,0.01769406392694064,0.06300813008130081,0.027629233511586453,0.9979170485092864
L15-1049E-1370N_4196_2710_13,0.004656778199379096,0.06644790812141099,0.008703594262074893,0.9824037551879883
L15-1439E-1134N_5759_3655_13,0.018942383583267563,0.02238388360380526,0.02051983584131327,0.9890640273704789
L15-0544E-1228N_2176_3279_13,0.2245821193068548,0.35684697855750486,0.2756705882352941,0.9853066959921799
L15-1014E-1375N_4056_2688_13,0.0736916548797737,0.06706139786330287,0.0702203652537233,0.9868164188474471
L15-1209E-1113N_4838_3737_13,0.24032586558044808,0.019835266431332998,0.03664596273291926,0.9940834045410156
L15-0361E-1300N_1446_2989_13,0.14114600194237617,0.030871627841110246,0.05066232860794794,0.9844169616699219
L15-0506E-1204N_2027_3374_13,0.06184486373165619,0.12390619530976549,0.08250786621605874,0.9924917221069336
L15-1617E-1207N_6468_3360_13,0.018553536682287812,0.04811656005685856,0.026780592970588817,0.9530285847385142
L15-1335E-1166N_5342_3524_13,0.07751937984496124,0.0016152479405588758,0.0031645569620253164,0.9819579362170088
L15-1185E-0935N_4742_4450_13,0.07123455708402698,0.08707293563243011,0.07836144578313253,0.9817619323730469
L15-0566E-1185N_2265_3451_13,0.3462897526501767,0.12387143373058866,0.1824710732810214,0.9882755279541016
L15-0357E-1223N_1429_3296_13,0.013541666666666667,0.025612158739093723,0.01771634381388105,0.9903670653103617
L15-1615E-1206N_6460_3366_13,0.32571007008483954,0.055010435161822885,0.09412391738840772,0.9675817489624023
L15-0577E-1243N_2309_3217_13,0.034608593290170686,0.08407206176722905,0.04903268845897265,0.9891242980957031
L15-0977E-1187N_3911_3441_13,0.1017274472168906,0.02437341917682226,0.0393248005935819,0.995060920715332
L15-1615E-1205N_6460_3370_13,0.04905660377358491,0.06313321610985514,0.05521180390290338,0.9753904342651367
L15-1690E-1211N_6763_3346_13,0.08653891873900432,0.0796917418337858,0.0829743098771342,0.961634635925293
L15-0331E-1257N_1327_3160_13,0.08892921960072596,0.06083178150217256,0.07224474751197936,0.9951945106304986
L15-0457E-1135N_1831_3648_13,0.09176266372100363,0.1506086506086506,0.11404196901353207,0.9827502596529815
L15-1709E-1112N_6838_3742_13,0.058677236341027436,0.14256042296072508,0.08313604580741067,0.9841184616088867
L15-1203E-1203N_4815_3378_13,0.027259684361549498,0.001663019693654267,0.003134796238244514,0.9769515991210938
L15-1479E-1101N_5916_3785_13,0.43795299802328136,0.15200487879249885,0.22568049346386734,0.9869508743286133
L15-1296E-1198N_5184_3399_13,0.3963300461864936,0.07352770894606424,0.12404281919049852,0.9572353363037109
L15-0595E-1278N_2383_3079_13,0.02240074154178897,0.0316801398295827,0.026244343891402715,0.9897384643554688
L15-0358E-1220N_1433_3310_13,0.02021227503461006,0.021935096153846152,0.02103847447043566,0.9805631637573242
L15-1389E-1284N_5557_3054_13,0.32195121951219513,0.20467231755220178,0.25025278058645095,0.9943428039550781
L15-1669E-1160N_6679_3549_13,0.15847511027095149,0.029356834364421616,0.04953712822532992,0.9631843566894531
L15-0387E-1276N_1549_3087_13,0.10262417994376757,0.13252647503782147,0.11567410537435627,0.9872264862060547
L15-1669E-1160N_6678_3548_13,0.08961845607808341,0.06254730613087456,0.07367482574161129,0.9782009124755859
L15-0924E-1108N_3699_3757_13,0.01508239721731197,0.18336221837088387,0.027872177876129507,0.964808464050293
L15-1672E-1207N_6691_3363_13,0.2133558214304538,0.18179368572326762,0.19631425800193986,0.9683605205278593
L15-1703E-1219N_6813_3313_13,0.12589285714285714,0.12657091561938957,0.12623097582811102,0.986968994140625
L15-0571E-1075N_2287_3888_13,0.24775190617841147,0.14705524211551732,0.1845620916697444,0.9388774972507331
L15-1172E-1306N_4688_2967_13,0.04433732071653872,0.20938729623383923,0.0731791169392466,0.9820032119750977
L15-1438E-1134N_5753_3655_13,0.011179173047473201,0.06607189035427981,0.019122820148192502,0.9500064849853516
L15-1716E-1211N_6864_3345_13,0.0847265625,0.0902621722846442,0.08740681039693733,0.9568061828613281
L15-0760E-0887N_3041_4643_13,0.02106272254176938,0.2658140338748704,0.039032560972514785,0.9638538230083089
L15-1481E-1119N_5927_3715_13,0.5860612460401268,0.08504443763407907,0.14853472501003612,0.9939258385263929
L15-1276E-1107N_5105_3761_13,0.04184704184704185,0.009609012591119947,0.015629210455402855,0.9930324554443359
L15-0368E-1245N_1474_3210_13,0.004059652029826015,0.01121538109407187,0.005961433177200559,0.9688320159912109
L15-1748E-1247N_6993_3202_13,0.21070384528895886,0.15161812297734628,0.1763432765597064,0.9916524887084961
L15-1210E-1025N_4840_4088_13,0.4127659574468085,0.015244381581015244,0.02940284934828736,0.9938926696777344
L15-1204E-1204N_4819_3372_13,0.2526593050349509,0.08520669627605057,0.12743670320124678,0.9673654528445939
L15-1138E-1216N_4553_3325_13,0.13068181818181818,0.04109267008321971,0.06252459133669563,0.9750051498413086
L15-0586E-1127N_2345_3680_13,0.04538350565039673,0.059688512925923,0.051562233225200614,0.9734858030913979
L15-1848E-0793N_7394_5018_13,0.16260162601626016,0.032691351005614384,0.054437869822485205,0.9847602844238281
L15-1289E-1169N_5156_3514_13,0.06468392534617701,0.20331541896904096,0.0981438175971938,0.9529228210449219
L15-1015E-1062N_4061_3941_13,0.1307277628032345,0.014884149148381157,0.026725444276071084,0.9932622909545898
L15-1298E-1322N_5193_2903_13,0.08545269582909461,0.053725615606012155,0.06597290398586295,0.9909267425537109
L15-0632E-0892N_2528_4620_13,0.12779156327543426,0.0709366391184573,0.0912311780336581,0.9980411473607038
L15-1200E-0847N_4802_4803_13,0.06169914934855174,0.18756137479541735,0.09285367039377734,0.9786244501466276
L15-0487E-1246N_1950_3207_13,0.25646422128683105,0.12594123726561346,0.16892761659570255,0.9919958114624023
