Indice,Learning Rate,Epoch,Train Loss,Train Accuracy
3,0.0001,1,0.5118343072494275,0.7123148167798967
3,0.0001,2,0.48291795072216676,0.7222655272120752
3,0.0001,3,0.4613912432326883,0.7299582805730365
3,0.0001,4,0.4545731776861975,0.7329068430789231
3,0.0001,5,0.44992880748613234,0.7336090310575999
3,0.0001,6,0.4536416581439488,0.7300780339894561
3,0.0001,7,0.4449461631968542,0.7417560451526932
3,0.0001,8,0.44775014770817634,0.7335536879331327
3,0.0001,9,0.4405585826350953,0.7424628417504016
3,0.0001,10,0.4324619075368504,0.739241536135601
3,0.0001,11,0.4289174302580393,0.7456117872054202
3,0.0001,12,0.4287285635314012,0.7471448714357948
3,0.0001,13,0.42494445113361184,0.7494517369923858
3,0.0001,14,0.4255203038907898,0.7469516986517737
3,0.0001,15,0.427752300688458,0.7500736052614784
